,Country,Year,Indicator:Maternal mortality ratio (per 100 000 live births),Type_of_Medicine,Measure,Total_Sales_Value
24210,Netherlands,2013,6,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",31.1
24211,Netherlands,2013,6,B-Blood and blood forming organs,Million US$ at exchange rate,342.8
24212,Netherlands,2013,6,J-Antiinfectives for systemic use,% of total sales,9.2
24213,Netherlands,2013,6,C09-Agents acting on the Renin-Angiotensin system,% of total sales,3.9
24214,Netherlands,2013,6,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ purchasing power parity",12.5
24215,Netherlands,2013,6,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ exchange rate",13.2
24216,Netherlands,2013,6,C09-Agents acting on the Renin-Angiotensin system,"Million US$, purchasing power parity",210.0
24217,Netherlands,2013,6,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",29.3
24218,Netherlands,2013,6,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,9.7
24219,Netherlands,2013,6,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,12.9
24220,Netherlands,2013,6,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",12.2
24221,Netherlands,2013,6,Total pharmaceutical sales,"/capita, US$ purchasing power parity",320.7
24222,Netherlands,2013,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million of national currency units,127.9
24223,Netherlands,2013,6,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.8
24224,Netherlands,2013,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ exchange rate",10.1
24225,Netherlands,2013,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ purchasing power parity",9.5
24226,Netherlands,2013,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",% of total sales,3.0
24227,Netherlands,2013,6,C03-Diuretics,% of total sales,1.9
24228,Netherlands,2013,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","Million US$, purchasing power parity",160.2
24229,Netherlands,2013,6,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",0.7
24230,Netherlands,2013,6,"C01B-Antiarrhythmics, Class I and III",% of total sales,0.2
24231,Netherlands,2013,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million US$ at exchange rate,169.8
24232,Netherlands,2013,6,Total pharmaceutical sales,"Million US$, purchasing power parity",5388.7
24233,Netherlands,2013,6,Total pharmaceutical sales,Million of national currency units,4301.1
24234,Netherlands,2013,6,Total pharmaceutical sales,Million US$ at exchange rate,5712.3
24235,Netherlands,2013,6,N-Nervous system,% of total sales,13.2
24236,Netherlands,2013,6,N-Nervous system,Million of national currency units,568.2
24237,Netherlands,2013,6,Total pharmaceutical sales,"/capita, US$ exchange rate",339.9
24238,Netherlands,2013,6,N-Nervous system,Million US$ at exchange rate,754.7
24239,Netherlands,2013,6,N-Nervous system,"/capita, US$ purchasing power parity",42.4
24240,Netherlands,2013,6,N-Nervous system,"/capita, US$ exchange rate",44.9
24241,Netherlands,2013,6,N-Nervous system,"Million US$, purchasing power parity",711.9
24242,Netherlands,2013,6,N06A-Antidepressants,"/capita, US$ purchasing power parity",7.3
24243,Netherlands,2013,6,N06A-Antidepressants,"/capita, US$ exchange rate",7.8
24244,Netherlands,2013,6,J01-Antibacterials for systemic use,"/capita, US$ purchasing power parity",9.0
24245,Netherlands,2013,6,C-Cardiovascular system,Million of national currency units,714.1
24246,Netherlands,2013,6,C-Cardiovascular system,Million US$ at exchange rate,948.4
24247,Netherlands,2013,6,C-Cardiovascular system,"Million US$, purchasing power parity",894.7
24248,Netherlands,2013,6,J01-Antibacterials for systemic use,"/capita, US$ exchange rate",9.5
24249,Netherlands,2013,6,J01-Antibacterials for systemic use,Million of national currency units,120.2
24250,Netherlands,2013,6,J01-Antibacterials for systemic use,Million US$ at exchange rate,159.6
24251,Netherlands,2013,6,J01-Antibacterials for systemic use,"Million US$, purchasing power parity",150.6
24252,Netherlands,2013,6,N05C-Hypnotics and sedatives,"/capita, US$ purchasing power parity",0.9
24253,Netherlands,2013,6,N05C-Hypnotics and sedatives,"/capita, US$ exchange rate",1.0
24254,Netherlands,2013,6,N05C-Hypnotics and sedatives,"Million US$, purchasing power parity",16.0
24255,Netherlands,2013,6,N05C-Hypnotics and sedatives,Million US$ at exchange rate,16.9
24256,Netherlands,2013,6,N05C-Hypnotics and sedatives,% of total sales,0.3
24257,Netherlands,2013,6,C-Cardiovascular system,"/capita, US$ exchange rate",56.4
24258,Netherlands,2013,6,C-Cardiovascular system,"/capita, US$ purchasing power parity",53.2
24259,Netherlands,2013,6,C-Cardiovascular system,% of total sales,16.6
24260,Netherlands,2013,6,J01-Antibacterials for systemic use,% of total sales,2.8
24261,Netherlands,2013,6,C01A-Cardiac glycosides,% of total sales,0.1
24262,Netherlands,2013,6,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",20.1
24263,Netherlands,2013,6,A10-Drugs used in diabetes,% of total sales,6.3
24264,Netherlands,2013,6,G03-Sex hormones and modulators of the genital system,"/capita, US$ purchasing power parity",4.5
24265,Netherlands,2013,6,G03-Sex hormones and modulators of the genital system,% of total sales,1.4
24266,Netherlands,2013,6,A10-Drugs used in diabetes,"/capita, US$ exchange rate",21.3
24267,Netherlands,2013,6,A10-Drugs used in diabetes,Million of national currency units,269.8
24268,Netherlands,2013,6,A10-Drugs used in diabetes,Million US$ at exchange rate,358.3
24269,Netherlands,2013,6,A10-Drugs used in diabetes,"Million US$, purchasing power parity",338.0
24270,Netherlands,2013,6,G03-Sex hormones and modulators of the genital system,"/capita, US$ exchange rate",4.7
24271,Netherlands,2013,6,C01A-Cardiac glycosides,Million US$ at exchange rate,8.6
24272,Netherlands,2013,6,C01A-Cardiac glycosides,"Million US$, purchasing power parity",8.1
24273,Netherlands,2013,6,C01A-Cardiac glycosides,"/capita, US$ exchange rate",0.5
24274,Netherlands,2013,6,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.5
24275,Netherlands,2013,6,C01A-Cardiac glycosides,Million of national currency units,6.4
24276,Netherlands,2013,6,G03-Sex hormones and modulators of the genital system,"Million US$, purchasing power parity",75.1
24277,Netherlands,2013,6,G03-Sex hormones and modulators of the genital system,Million US$ at exchange rate,79.6
24278,Netherlands,2013,6,G03-Sex hormones and modulators of the genital system,Million of national currency units,59.9
24279,Netherlands,2013,6,N05C-Hypnotics and sedatives,Million of national currency units,12.7
24280,Netherlands,2013,6,M01A-Antiinflammatory and antirheumatic products non-steroids,Million of national currency units,80.9
24281,Netherlands,2013,6,M01A-Antiinflammatory and antirheumatic products non-steroids,Million US$ at exchange rate,107.5
24282,Netherlands,2013,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"Million US$, purchasing power parity",101.4
24283,Netherlands,2013,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ exchange rate",6.4
24284,Netherlands,2013,6,A02A-Antacids,"/capita, US$ exchange rate",0.0
24285,Netherlands,2013,6,A02A-Antacids,% of total sales,0.0
24286,Netherlands,2013,6,N06A-Antidepressants,"Million US$, purchasing power parity",123.2
24287,Netherlands,2013,6,A02A-Antacids,"/capita, US$ purchasing power parity",0.0
24288,Netherlands,2013,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ purchasing power parity",6.0
24289,Netherlands,2013,6,C07-Beta blocking agents,Million US$ at exchange rate,124.7
24290,Netherlands,2013,6,C07-Beta blocking agents,"Million US$, purchasing power parity",117.7
24291,Netherlands,2013,6,C07-Beta blocking agents,Million of national currency units,93.9
24292,Netherlands,2013,6,M01A-Antiinflammatory and antirheumatic products non-steroids,% of total sales,1.9
24293,Netherlands,2013,6,C07-Beta blocking agents,% of total sales,2.2
24294,Netherlands,2013,6,C07-Beta blocking agents,"/capita, US$ purchasing power parity",7.0
24295,Netherlands,2013,6,C07-Beta blocking agents,"/capita, US$ exchange rate",7.4
24296,Netherlands,2013,6,A02A-Antacids,"Million US$, purchasing power parity",0.0
24297,Netherlands,2013,6,C08-Calcium channel blockers,Million US$ at exchange rate,86.2
24298,Netherlands,2013,6,C08-Calcium channel blockers,"Million US$, purchasing power parity",81.3
24299,Netherlands,2013,6,C08-Calcium channel blockers,"/capita, US$ exchange rate",5.1
24300,Netherlands,2013,6,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",4.8
24301,Netherlands,2013,6,C08-Calcium channel blockers,Million of national currency units,64.9
24302,Netherlands,2013,6,B-Blood and blood forming organs,% of total sales,6.0
24303,Netherlands,2013,6,N06A-Antidepressants,Million of national currency units,98.3
24304,Netherlands,2013,6,N06A-Antidepressants,Million US$ at exchange rate,130.6
24305,Netherlands,2013,6,C08-Calcium channel blockers,% of total sales,1.5
24306,Netherlands,2013,6,N02-Analgesics,"/capita, US$ purchasing power parity",11.1
24307,Netherlands,2013,6,N02-Analgesics,% of total sales,3.5
24308,Netherlands,2013,6,A02A-Antacids,Million of national currency units,0.0
24309,Netherlands,2013,6,A02A-Antacids,Million US$ at exchange rate,0.0
24310,Netherlands,2013,6,N02-Analgesics,"/capita, US$ exchange rate",11.8
24311,Netherlands,2013,6,N02-Analgesics,Million of national currency units,148.9
24312,Netherlands,2013,6,N02-Analgesics,Million US$ at exchange rate,197.7
24313,Netherlands,2013,6,N02-Analgesics,"Million US$, purchasing power parity",186.5
24314,Netherlands,2013,6,N05B-Anxiolytics,Million of national currency units,20.1
24315,Netherlands,2013,6,R-Respiratory system,Million of national currency units,540.6
24316,Netherlands,2013,6,R-Respiratory system,Million US$ at exchange rate,718.0
24317,Netherlands,2013,6,N05B-Anxiolytics,Million US$ at exchange rate,26.7
24318,Netherlands,2013,6,N05B-Anxiolytics,"/capita, US$ purchasing power parity",1.5
24319,Netherlands,2013,6,N05B-Anxiolytics,"/capita, US$ exchange rate",1.6
24320,Netherlands,2013,6,N05B-Anxiolytics,"Million US$, purchasing power parity",25.2
24321,Netherlands,2013,6,R-Respiratory system,"Million US$, purchasing power parity",677.3
24322,Netherlands,2013,6,N05B-Anxiolytics,% of total sales,0.5
24323,Netherlands,2013,6,R-Respiratory system,% of total sales,12.6
24324,Netherlands,2013,6,G-Genito urinary system and sex hormones,"Million US$, purchasing power parity",171.4
24325,Netherlands,2013,6,G-Genito urinary system and sex hormones,Million US$ at exchange rate,181.7
24326,Netherlands,2013,6,G-Genito urinary system and sex hormones,Million of national currency units,136.8
24327,Netherlands,2013,6,R-Respiratory system,"/capita, US$ purchasing power parity",40.3
24328,Netherlands,2013,6,G-Genito urinary system and sex hormones,"/capita, US$ purchasing power parity",10.2
24329,Netherlands,2013,6,G-Genito urinary system and sex hormones,"/capita, US$ exchange rate",10.8
24330,Netherlands,2013,6,R-Respiratory system,"/capita, US$ exchange rate",42.7
24331,Netherlands,2013,6,G-Genito urinary system and sex hormones,% of total sales,3.2
24332,Netherlands,2013,6,C02-Antihypertensives,% of total sales,0.8
24333,Netherlands,2013,6,C10-Lipid modifying agents,Million of national currency units,213.2
24334,Netherlands,2013,6,C10-Lipid modifying agents,Million US$ at exchange rate,283.2
24335,Netherlands,2013,6,C10-Lipid modifying agents,"Million US$, purchasing power parity",267.1
24336,Netherlands,2013,6,C02-Antihypertensives,"/capita, US$ purchasing power parity",2.6
24337,Netherlands,2013,6,C02-Antihypertensives,"Million US$, purchasing power parity",42.9
24338,Netherlands,2013,6,C02-Antihypertensives,Million US$ at exchange rate,45.5
24339,Netherlands,2013,6,C02-Antihypertensives,Million of national currency units,34.2
24340,Netherlands,2013,6,C02-Antihypertensives,"/capita, US$ exchange rate",2.7
24341,Netherlands,2013,6,C10-Lipid modifying agents,"/capita, US$ exchange rate",16.9
24342,Netherlands,2013,6,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",816.6
24343,Netherlands,2013,6,A-Alimentary tract and metabolism,Million US$ at exchange rate,865.6
24344,Netherlands,2013,6,A-Alimentary tract and metabolism,Million of national currency units,651.8
24345,Netherlands,2013,6,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",51.5
24346,Netherlands,2013,6,C10-Lipid modifying agents,"/capita, US$ purchasing power parity",15.9
24347,Netherlands,2013,6,C10-Lipid modifying agents,% of total sales,5.0
24348,Netherlands,2013,6,A-Alimentary tract and metabolism,% of total sales,15.2
24349,Netherlands,2013,6,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",48.6
24350,Netherlands,2013,6,M-Musculo-skeletal system,Million of national currency units,133.3
24351,Netherlands,2013,6,C03-Diuretics,"/capita, US$ exchange rate",6.4
24352,Netherlands,2013,6,C03-Diuretics,"Million US$, purchasing power parity",102.2
24353,Netherlands,2013,6,M-Musculo-skeletal system,Million US$ at exchange rate,177.1
24354,Netherlands,2013,6,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",9.9
24355,Netherlands,2013,6,M-Musculo-skeletal system,"/capita, US$ exchange rate",10.5
24356,Netherlands,2013,6,M-Musculo-skeletal system,"Million US$, purchasing power parity",167.1
24357,Netherlands,2013,6,C03-Diuretics,Million US$ at exchange rate,108.3
24358,Netherlands,2013,6,M-Musculo-skeletal system,% of total sales,3.1
24359,Netherlands,2013,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ exchange rate",9.4
24360,Netherlands,2013,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"Million US$, purchasing power parity",148.3
24361,Netherlands,2013,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ purchasing power parity",8.8
24362,Netherlands,2013,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),% of total sales,2.8
24363,Netherlands,2013,6,C03-Diuretics,Million of national currency units,81.5
24364,Netherlands,2013,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million of national currency units,118.4
24365,Netherlands,2013,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million US$ at exchange rate,157.3
24366,Netherlands,2013,6,C03-Diuretics,"/capita, US$ purchasing power parity",6.1
24367,Netherlands,2012,7,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",32.2
24368,Netherlands,2012,7,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",34.2
24369,Netherlands,2012,7,J-Antiinfectives for systemic use,Million of national currency units,375.5
24370,Netherlands,2012,7,J-Antiinfectives for systemic use,Million US$ at exchange rate,482.5
24371,Netherlands,2012,7,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",455.5
24372,Netherlands,2012,7,R03-Drugs for obstructive airway diseases,% of total sales,9.7
24373,Netherlands,2012,7,B-Blood and blood forming organs,Million of national currency units,244.3
24374,Netherlands,2012,7,B-Blood and blood forming organs,Million US$ at exchange rate,313.9
24375,Netherlands,2012,7,N06A-Antidepressants,% of total sales,2.1
24376,Netherlands,2012,7,B-Blood and blood forming organs,% of total sales,5.3
